Domain,TriggerType,Layer,Prob
Math,None,0,0.0
Math,None,1,0.0
Math,None,2,3.561356302313385e-30
Math,None,3,4.189203507251207e-37
Math,None,4,2.681101898565235e-32
Math,None,5,9.470812411354765e-30
Math,None,6,4.2900206228147636e-14
Math,None,7,1.4822308961812136e-12
Math,None,8,2.5611679443926505e-11
Math,None,9,2.593517067772666e-10
Math,None,10,6.560117071785498e-08
Math,None,11,3.638321913967957e-06
Math,None,12,2.588737118003337e-07
Math,None,13,4.3387905179770314e-07
Math,None,14,5.861671703577542e-10
Math,None,15,2.358903437166271e-12
Math,None,16,9.369253013398818e-14
Math,None,17,1.3818507082035231e-18
Math,None,18,1.2638603246916381e-20
Math,None,19,1.3345540717413896e-19
Math,None,20,2.7129065168121523e-20
Math,None,21,1.2545023247838842e-25
Math,None,22,1.268577939289007e-18
Math,None,23,1.6910447465682215e-21
Math,None,24,1.2360843277460597e-22
Math,None,25,5.103494757021558e-21
Logic,Exact,0,0.0
Logic,Exact,1,0.0
Logic,Exact,2,2.867965286684237e-30
Logic,Exact,3,2.7375966343950946e-37
Logic,Exact,4,7.280798069021399e-31
Logic,Exact,5,1.3627918607599918e-31
Logic,Exact,6,1.0581383757754265e-14
Logic,Exact,7,6.272333184526718e-14
Logic,Exact,8,8.752184393889806e-11
Logic,Exact,9,7.958344400149642e-11
Logic,Exact,10,4.993553903709369e-10
Logic,Exact,11,6.283556786002009e-07
Logic,Exact,12,1.9040440690787364e-07
Logic,Exact,13,1.0182924370383262e-07
Logic,Exact,14,3.2784966148141637e-12
Logic,Exact,15,5.503016495822521e-07
Logic,Exact,16,1.8115377253824505e-11
Logic,Exact,17,6.0099967537363685e-12
Logic,Exact,18,2.2608082940467344e-12
Logic,Exact,19,5.955293766804481e-13
Logic,Exact,20,8.894605272123083e-21
Logic,Exact,21,1.1719317607963351e-22
Logic,Exact,22,3.4277559902897575e-14
Logic,Exact,23,1.5303705094078975e-14
Logic,Exact,24,3.5731531661528984e-16
Logic,Exact,25,1.288294507016544e-14
Logic,Paraphrased,0,0.0
Logic,Paraphrased,1,0.0
Logic,Paraphrased,2,2.0622380123594347e-30
Logic,Paraphrased,3,2.1686261857826405e-37
Logic,Paraphrased,4,3.8490537486601887e-31
Logic,Paraphrased,5,1.4035543608140212e-31
Logic,Paraphrased,6,1.7819013476663877e-14
Logic,Paraphrased,7,1.1981020830390682e-13
Logic,Paraphrased,8,3.1142102785430836e-11
Logic,Paraphrased,9,8.466859158229312e-11
Logic,Paraphrased,10,1.4222554245435504e-09
Logic,Paraphrased,11,2.3543834686279297e-06
Logic,Paraphrased,12,6.259011115616886e-06
Logic,Paraphrased,13,7.302876952053339e-07
Logic,Paraphrased,14,5.6248984636741994e-11
Logic,Paraphrased,15,4.413326593066813e-08
Logic,Paraphrased,16,6.063419623163202e-13
Logic,Paraphrased,17,9.929640185720075e-15
Logic,Paraphrased,18,5.1550614905276904e-14
Logic,Paraphrased,19,3.6888545739072534e-14
Logic,Paraphrased,20,4.8374245197343475e-21
Logic,Paraphrased,21,5.488424648517013e-22
Logic,Paraphrased,22,1.2036433895206648e-14
Logic,Paraphrased,23,8.211159413539816e-15
Logic,Paraphrased,24,7.627853562544931e-16
Logic,Paraphrased,25,1.5946076246551796e-14
Logic,None,0,0.0
Logic,None,1,0.0
Logic,None,2,5.685537506706915e-31
Logic,None,3,3.867482027267985e-38
Logic,None,4,7.853181129191113e-34
Logic,None,5,1.01031095061084e-29
Logic,None,6,2.2127592252539803e-14
Logic,None,7,2.231602760655732e-13
Logic,None,8,1.4627099878539163e-11
Logic,None,9,4.029072075972806e-10
Logic,None,10,7.142533675619234e-09
Logic,None,11,7.099144827549253e-09
Logic,None,12,8.103445026108602e-09
Logic,None,13,4.7245197265510797e-07
Logic,None,14,5.809004319234923e-11
Logic,None,15,3.834441444916514e-12
Logic,None,16,3.003680341266333e-25
Logic,None,17,7.651188667803079e-20
Logic,None,18,8.734336048304701e-30
Logic,None,19,1.1960203188975678e-33
Logic,None,20,4.852846931042047e-30
Logic,None,21,3.5547594644286836e-26
Logic,None,22,1.0558360813295297e-18
Logic,None,23,7.741669379667492e-17
Logic,None,24,1.4750051004522543e-18
Logic,None,25,1.9090853736052273e-17
General,Exact,0,0.0
General,Exact,1,0.0
General,Exact,2,1.3840104224660633e-29
General,Exact,3,9.7540790903549e-30
General,Exact,4,1.622237213653161e-20
General,Exact,5,6.82604103473771e-32
General,Exact,6,1.612100074743425e-13
General,Exact,7,6.818198349661797e-12
General,Exact,8,5.1204082640587956e-11
General,Exact,9,3.468532405737079e-11
General,Exact,10,4.744240111875797e-09
General,Exact,11,2.8737741075701706e-08
General,Exact,12,1.1725119009042828e-07
General,Exact,13,3.188822006450209e-08
General,Exact,14,9.36710375931682e-10
General,Exact,15,2.463380333050935e-10
General,Exact,16,6.03531504286825e-12
General,Exact,17,8.53134696741586e-21
General,Exact,18,5.5741861003085605e-18
General,Exact,19,8.232583867860972e-17
General,Exact,20,8.550903481650569e-18
General,Exact,21,2.485507441429629e-24
General,Exact,22,3.6911142545226205e-12
General,Exact,23,4.090599590284537e-14
General,Exact,24,1.88046343548579e-17
General,Exact,25,6.622691872485768e-17
General,Paraphrased,0,0.0
General,Paraphrased,1,0.0
General,Paraphrased,2,1.6452343818628567e-29
General,Paraphrased,3,2.984604607020285e-30
General,Paraphrased,4,4.974281713639959e-21
General,Paraphrased,5,3.798452478439212e-32
General,Paraphrased,6,1.965921864318862e-13
General,Paraphrased,7,9.07207382133679e-12
General,Paraphrased,8,4.2314717701996685e-11
General,Paraphrased,9,2.2183303804990118e-11
General,Paraphrased,10,1.1005746536341121e-08
General,Paraphrased,11,1.6888497711420314e-08
General,Paraphrased,12,1.4750702348464984e-07
General,Paraphrased,13,3.647569712939003e-08
General,Paraphrased,14,1.2107481683898413e-09
General,Paraphrased,15,6.901240134915554e-10
